marker,initial,int1,init2,int2,clean_init,clean_int,clean
after,132019,382659,104392,315392,F,T,689500
also,8349,163721,6025,127932,T,F,14363
although,24548,43001,18661,30844,F,T,72246
and,627095,9196773,536802,7418362,T,F,1162939
as,243892,2278077,199459,1914057,F,F,0
because,53262,398761,48985,334889,F,T,726579
before,45134,661039,37741,550493,F,T,1205545
but,639577,2155205,556369,1761883,T,T,5032860
for example,1260,2721,973,1898,T,T,4487
however,23190,41500,17470,32974,T,F,40587
if,285683,1112996,234244,932867,F,T,2028242
meanwhile,4253,2028,3246,1183,T,F,7499
so,204211,1314667,161201,1083875,F,F,365054
still,38719,519404,32879,433731,F,F,0
then,253476,895742,205293,739857,T,F,458448
though,26911,260084,23114,209392,F,F,0
when,266571,949927,214830,783143,F,T,1725433
while,31004,300832,24702,241688,F,T,540797
